"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"783d0def-ef4a-4ab0-97de-c7edd39225b9","kool","char-offset:45","PERSON","","","","","","","",""
"3514ee44-14a0-4c1d-b8a3-ee4770da1742","banaan","char-offset:53","PERSON","","","","","","","",""
"62bc74f5-1cdb-49a8-a662-a9e7ee582b47","600 gram","char-offset:106","PLACE","","","","","","UNVERIFIED","",""
"cd0b8f9e-6b18-4bdd-b04c-98880e0bc93a","rijst","char-offset:130","PERSON","","","","","","","",""
"05c7f807-e0fc-42bd-922d-b57c7b48be36","circa 250 gram","char-offset:137","PLACE","","","","","","UNVERIFIED","",""
"803ae103-6df5-45f6-97b2-77b7a676946e","rijst","char-offset:158","PERSON","","","","","","","",""
"53da5661-ac8d-480b-b36a-d132537acd33","1","char-offset:166","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"0a8325f2-734f-42bf-a448-e5b706ff9930","ui","char-offset:182","PERSON","","","","","","","",""
"7b390a7b-ce6d-4ecf-b460-4b434a886bed","40 gram","char-offset:186","PLACE","","","","","","UNVERIFIED","",""
"5730c104-ac95-47f8-87a9-e03eeac0d484","boter","char-offset:194","PERSON","","","","","","","",""
"e7716b7e-851a-40bd-ba84-7f305789e68d","jus","char-offset:211","PERSON","","","","","","","",""
"aac4f703-3271-4cde-b585-c7e391e3c3bc","afgestreken lepel","char-offset:218","PLACE","","","","","","UNVERIFIED","",""
"75e6f9dd-8230-4f97-8354-862bcf8b7343","kerrie","char-offset:236","PERSON","","","","","","","",""
"94aac67e-2019-45a3-95ca-20298c70d533","300 gram","char-offset:244","PLACE","","","","","","UNVERIFIED","",""
"6ccf9d90-6193-4521-8efe-377070e6bc0f","stukjevlees","char-offset:253","PERSON","","","","","","","",""
"c901cbcd-aa42-498f-94cf-f45c6116eee4","gehaktballetjes","char-offset:266","PERSON","","","","","","","",""
"bc96cbb3-fd14-4476-89b9-bbe7d01c0851","soepvlees","char-offset:296","PERSON","","","","","","","",""
"fab40f61-d745-4079-a359-708cff00ccae","4 dl","char-offset:327","PLACE","","","","","","UNVERIFIED","",""
