"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"35d46e07-0267-4a29-895e-1f5bf43137a6","4","char-offset:57","PLACE","http://pleiades.stoa.org/places/856175","4","45.25","35.25","numbered feature","UNVERIFIED","",""
"0e5dbc40-1eb9-4177-b7e1-2e65ad45ca86","krabscharen","char-offset:68","PERSON","","","","","","","",""
"2524dec1-f8df-45e1-82ce-26963a057204","200","char-offset:81","PLACE","http://sws.geonames.org/468921","Yaroslavichi","60.49275","34.50806","","UNVERIFIED","",""
"dfae4170-da1e-48fd-929d-8dcbc48bbd2d","Noorse garnalen","char-offset:93","PERSON","","","","","","","",""
"c12a5294-7ff9-4603-bebe-b8cfcae0c3ca","kipfilet","char-offset:131","PERSON","","","","","","","",""
"6d717d1a-6726-4def-aadf-40f501edb5bb","courgette","char-offset:162","PERSON","","","","","","","",""
"0fe88ded-6efc-4fc1-9da9-fb47e711aa5e","aardappel","char-offset:177","PERSON","","","","","","","",""
"67151b78-a691-4dff-bd14-03cb6a4f6ea6","'toi""flookteentje","char-offset:202","EVENT","","","","","","","",""
"9fd1df96-566f-41e9-8389-6cd6425c1b4e","kippebouillon","char-offset:230","PERSON","","","","","","","",""
"c079207c-e935-4b9f-b9e9-90b1e38113de","bosje","char-offset:246","PLACE","","","","","","UNVERIFIED","",""
"13f57493-a5f3-44a2-9d4f-8cc260386759","peterselie","char-offset:252","PERSON","","","","","","","",""
"3f972aaa-7640-40e8-b940-6603f8e8c418","peper","char-offset:324","PERSON","","","","","","","",""
"851a4de7-e035-4d6f-b6de-71cc6ebbb491","kiiof«eentje","char-offset:416","EVENT","","","","","","","",""
