"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"45c1443d-a0ac-49a7-841b-0afc5a473cd6","uien","char-offset:22","PERSON","","","","","","","",""
"d0351982-3213-40ba-99b3-b053aeab85d4","bietjes","char-offset:28","PERSON","","","","","","","",""
"57e6941b-3146-446f-a650-6111f3b903ef","banaan","char-offset:45","PERSON","","","","","","","",""
"ba9e12b0-14fe-4016-9599-375b3fa559ba","zure room","char-offset:56","PERSON","","","","","","","",""
"0ab09811-7c40-4e34-b9ee-ffd89d2cba8c","400 g","char-offset:86","PLACE","","","","","","UNVERIFIED","",""
"88a1fe66-6a15-4306-8c57-4c8010c3e72e","gehakt","char-offset:92","PERSON","","","","","","","",""
"e58170f7-5a74-496b-9658-6b398a3c48e6","1","char-offset:100","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"6d2565d6-36d9-4c7a-9269-8e785cbde86b","boter","char-offset:107","PERSON","","","","","","","",""
"555f1711-4695-418d-88e3-81c80854f69e","n°temuskaat","char-offset:118","EVENT","","","","","","","",""
"ee58ecd6-a892-4068-8ade-bf49e6570cc2","zwarte peper","char-offset:131","PERSON","","","","","","","",""
"4a0a7617-8871-450d-80d7-e22882ef6b4e","zout","char-offset:145","PERSON","","","","","","","",""
"fd4f1700-0ac5-4434-a233-46beb9e06485","boter","char-offset:160","PERSON","","","","","","","",""
"840ad1d6-ff32-4262-80e8-6a04af1d46f3","peterselie","char-offset:167","PERSON","","","","","","","",""
"878fd3f2-8981-47b0-bddc-eeb0b116d44a","paneermeel","char-offset:179","PERSON","","","","","","","",""
"b33c4bcd-5abc-4296-8252-aeecce720200","bouillon","char-offset:204","PERSON","","","","","","","",""
"3b094601-7609-4015-a19b-bc07f0e9f5c0","uien","char-offset:382","PERSON","","","","","","","",""
"d43b6d00-fc9e-43d4-8193-65dc071fc472","uien","char-offset:427","PERSON","","","","","","","",""
"14e4c293-2c77-4a8f-a259-b708f9d9b8f0","uien","char-offset:594","PERSON","","","","","","","",""
"99bd267d-6665-4569-b650-c098cab16dfc","uien","char-offset:719","PERSON","","","","","","","",""
"fdba52cf-686c-453c-bbba-8d5cd315763c","(30-35 gram)","char-offset:797","PLACE","","","","","","UNVERIFIED","",""
"443391c1-397c-4366-b95a-ca2183c6fcab","boter","char-offset:810","PERSON","","","","","","","",""
"89f7cbb2-5ce3-49f8-aa92-b2a8439a83af","gehakt","char-offset:827","PERSON","","","","","","","",""
"fb0e4b2a-9d4d-4cac-9d93-8cc4cf1733d8","peper","char-offset:871","PERSON","","","","","","","",""
"679d5f48-32be-4278-a097-a97673b1d525","nootmuslij","char-offset:878","EVENT","","","","","","","",""
"890a48e8-69a7-4070-85fd-52ddfb56322b","zout","char-offset:892","PERSON","","","","","","","",""
"df22d594-a66d-4f1e-9df8-0386bd7cf120","petersefc","char-offset:918","EVENT","","","","","","","",""
"d81b1948-f467-4869-9a34-061958b9a5cc","gehakt","char-offset:949","PERSON","","","","","","","",""
"990394d9-7259-4e3d-aabb-53688e9ffe19","uien","char-offset:972","PERSON","","","","","","","",""
"429d243b-b7db-497d-901c-25233786b526","gehakt","char-offset:1094","PERSON","","","","","","","",""
"9617fe1c-1b9a-4cbb-9daf-180e21e2912f","uien","char-offset:1141","PERSON","","","","","","","",""
"653d9816-2469-4329-ac57-c61d7f697af3","bouillon","char-offset:1249","PERSON","","","","","","","",""
"df5b4b2b-db8f-4a27-8fac-eefe4cd851b0","paneermeel","char-offset:1287","PERSON","","","","","","","",""
"41163933-f46d-4773-95e4-bd54f4635251","boter","char-offset:1324","PERSON","","","","","","","",""
"7a5718a9-5183-4380-8718-c58f1cff7c6b","banaan","char-offset:1447","PERSON","","","","","","","",""
"15e77fe1-cc32-4906-93a7-a454ccd6ddf0","zure roomr","char-offset:1458","EVENT","","","","","","","",""
"9231993e-401e-496f-9d5c-17ccd62456cd","°ar,anen","char-offset:1471","EVENT","","","","","","","",""
"f2372f71-8a19-44f1-b315-4591c6318c02","30-40 g","char-offset:1481","PLACE","http://sws.geonames.org/2516865","Güevéjar","37.25759","-3.59691","","UNVERIFIED","",""
"ca880c65-6e2e-4a65-a561-39566b045499","boter","char-offset:1498","PERSON","","","","","","","",""
"24c97fe2-3ea3-454f-b01d-3c45d177c46f","ho- Co*","char-offset:1505","EVENT","","","","","","","",""
"5e195d4d-a688-43ff-bef1-1272441b676f","suiker","char-offset:1516","PERSON","","","","","","","",""
"a78adb37-af0d-45b5-93ea-40c2bedd18c0","citroensap","char-offset:1524","PERSON","","","","","","","",""
"b7e7f954-3dd3-4196-9180-f78497b54d10","1 potje zure ll*","char-offset:1536","EVENT","","","","","","","",""
"aa44784b-e9d8-4a09-bcfc-21b7a47baa07","bananen","char-offset:1579","PERSON","","","","","","","",""
"c7c6f46d-14e3-4afa-9ba0-d64aac6f28c7","boter","char-offset:1685","PERSON","","","","","","","",""
"9c8b29de-a778-41fd-903d-eeb51dc04ef0","citroensaP","char-offset:1713","EVENT","","","","","","","",""
"cb687e02-0997-4606-ac6a-a69cbb81ef59","honing","char-offset:1731","PERSON","","","","","","","",""
"3ebb4bde-0659-44e7-877b-7df8b6e2bd92","zure room","char-offset:1750","PERSON","","","","","","","",""
"9653d0d8-9d69-4515-96f5-d3d263d0ac76","hloem","char-offset:1889","EVENT","","","","","","","",""
"1304a259-ae81-4500-9fc9-5e26428e2d57","kaneel","char-offset:1896","PERSON","","","","","","","",""
"7c832576-8968-409d-b0c1-19b2cd315aa1","kardemom","char-offset:1904","PERSON","","","","","","","",""
"ef1821db-589a-413b-8232-f365380e2349","l„°*»sappel","char-offset:1916","EVENT","","","","","","","",""
"2d83eddf-56ea-4bcb-ae99-70f0ff2443b5","witte wijn","char-offset:1935","PERSON","","","","","","","",""
"9dca28b0-3a04-4d78-9cb5-4ad8fc6d730d","olie","char-offset:1947","PERSON","","","","","","","",""
"3480f9ae-3a42-4f4d-959c-6276fcaa7306","fri- honing.","char-offset:1953","EVENT","","","","","","","",""
