peterselie		Petroselinum%20crispum	3034907	temperate Asia (WGSRPD:3)
koriander		Coriandrum%20sativum	3034871	Europe (WGSRPD:1)
bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
platte peterselie		Petroselinum%20crispum	3034907	temperate Asia (WGSRPD:3)
spinazie		Spinacia%20oleracea	3083647	Europe (WGSRPD:1)
tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
rozemarijn		Rosmarinus%20officinalis	2926634	Africa (WGSRPD:2)
rozemarijn		Rosmarinus%20officinalis	2926634	Europe (WGSRPD:1)
rozemarijn		Rosmarinus%20officinalis	2926634	temperate Asia (WGSRPD:3)
rode ui		Allium%20cepa	2857697	cultivated origin
cherry tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
zongedroogde tomaten in olie		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
semi-zongedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
ui		Allium%20cepa	2857697	cultivated origin
gedroogde rozemarijn		Rosmarinus%20officinalis	2926634	Africa (WGSRPD:2)
gedroogde rozemarijn		Rosmarinus%20officinalis	2926634	Europe (WGSRPD:1)
gedroogde rozemarijn		Rosmarinus%20officinalis	2926634	temperate Asia (WGSRPD:3)
tomaat		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
avocado		Persea%20americana	3034046	Northern America (WGSRPD:7)
sladressing bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
panklare spinazie		Spinacia%20oleracea	3083647	Europe (WGSRPD:1)
tuinbonen		Vicia%20faba	2974832	Europe (WGSRPD:1)
gedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
aardappel		Solanum%20tuberosum	2930262	Southern America (WGSRPD:8)
zongedroogde tomaat		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
gepelde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
gezeefde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
augurk		Cucumis%20sativus	2874569	Europe (WGSRPD:1)
tapenade van zongedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
gemalen koriander ketoembar		Coriandrum%20sativum	3034871	Europe (WGSRPD:1)
vastkokende aardappel		Solanum%20tuberosum	2930262	Southern America (WGSRPD:8)
zuivelspread light bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
zongedroogde tomaten op olie		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
zoete ui		Allium%20cepa	2857697	cultivated origin
augurk zoetzuur		Cucumis%20sativus	2874569	Europe (WGSRPD:1)
sojabonen		Glycine%20max	5359660	Europe (WGSRPD:1)
pastinaak		Pastinaca%20sativa%20subsp.%20sativa	7224157	cultivated origin
gedroogde tomaten op olie		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
zuivelspread bieslook light		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
soja cuisine		Glycine%20max	5359660	Europe (WGSRPD:1)
yoghurtdressing bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
zoetzure augurk		Cucumis%20sativus	2874569	Europe (WGSRPD:1)
relish augurk		Cucumis%20sativus	2874569	Europe (WGSRPD:1)
watermeloen		Citrullus%20lanatus	2874621	Africa (WGSRPD:2)
Tasty Tom tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
semi zongedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
panklare wilde spinazie		Spinacia%20oleracea	3083647	Europe (WGSRPD:1)
eetrijpe avocado		Persea%20americana	3034046	Northern America (WGSRPD:7)
perzik		Prunus%20persica	3022511	temperate Asia (WGSRPD:3)
zongedroogde tomaten op olie		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
pastasaus tomaat en mascarpone		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
zoetzure augurk extra fijn		Cucumis%20sativus	2874569	Europe (WGSRPD:1)
spinazie à la crème		Spinacia%20oleracea	3083647	Europe (WGSRPD:1)
naanbrood koriander knoflook		Coriandrum%20sativum	3034871	Europe (WGSRPD:1)
tasty tom tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
rode bieten met ui		Allium%20cepa	2857697	cultivated origin
semi-gedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
pinda satésaus		Arachis%20hypogaea	5353770	Southern America (WGSRPD:8)
fijne tuinbonen		Vicia%20faba	2974832	Europe (WGSRPD:1)
Aardappel Anders bacon ui		Solanum%20tuberosum	2930262	Southern America (WGSRPD:8)
Aardappel Anders kruiden knoflook		Solanum%20tuberosum	2930262	Southern America (WGSRPD:8)
choco’s pinda		Arachis%20hypogaea	5353770	Southern America (WGSRPD:8)
grote kruimige aardappel		Solanum%20tuberosum	2930262	Southern America (WGSRPD:8)
fijngeknipte peterselie		Petroselinum%20crispum	3034907	temperate Asia (WGSRPD:3)
fijngehakte peterselie		Petroselinum%20crispum	3034907	temperate Asia (WGSRPD:3)
gemengde jonge bladsla met spinazie		Spinacia%20oleracea	3083647	Europe (WGSRPD:1)
woksaus zoete soja		Glycine%20max	5359660	Europe (WGSRPD:1)
gebroken rozemarijn		Rosmarinus%20officinalis	2926634	Africa (WGSRPD:2)
gebroken rozemarijn		Rosmarinus%20officinalis	2926634	Europe (WGSRPD:1)
gebroken rozemarijn		Rosmarinus%20officinalis	2926634	temperate Asia (WGSRPD:3)
choco's pinda		Arachis%20hypogaea	5353770	Southern America (WGSRPD:8)
crema van zongedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
evt. sprietjes bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
semigedroogde tomaten		Solanum%20lycopersicum	2930137	Southern America (WGSRPD:8)
gedroogde peterselie		Petroselinum%20crispum	3034907	temperate Asia (WGSRPD:3)
zuivelspread bieslook		Allium%20schoenoprasum	2855860	Europe (WGSRPD:1)
