Ingredient	DBpedia_link_via_stringmatch	Judgment_stringmatch	Scientific_name_via_stringmatch	dbpedia-en_via_stringmatch	DBpedia_via_spotlight	Judgment_spotlight	spotlight_conf	spotlight_support	Scientific_name_via_spotlight	dbpedia-en_via_spotlight	
peterselie	http://nl.dbpedia.org/resource/Peterselie	1	Petroselinum crispum	http://dbpedia.org/resource/Parsley	http://nl.dbpedia.org/resource/Peterselie	1	0.9999987461	128	Petroselinum crispum	http://dbpedia.org/resource/Parsley	
koriander	http://nl.dbpedia.org/resource/Koriander	1	Coriandrum sativum	http://dbpedia.org/resource/Coriander	http://nl.dbpedia.org/resource/Koriander	1	0.999998731	122	Coriandrum sativum	http://dbpedia.org/resource/Coriander	
basilicum	http://nl.dbpedia.org/resource/Basilicum	1	Ocimum	http://dbpedia.org/resource/Basil	http://nl.dbpedia.org/resource/Basilicum_(soort)	1	0.9892858576	92			
munt	http://nl.dbpedia.org/resource/Munt	1		http://dbpedia.org/resource/Munt		0					
bieslook	http://nl.dbpedia.org/resource/Bieslook	1	Allium schoenoprasum	http://dbpedia.org/resource/Chives	http://nl.dbpedia.org/resource/Bieslook	1	0.9999988723	54	Allium schoenoprasum	http://dbpedia.org/resource/Chives	
platte peterselie		0			http://nl.dbpedia.org/resource/Peterselie	1	0.9999989501	128	Petroselinum crispum	http://dbpedia.org/resource/Parsley	
olijfolie	http://nl.dbpedia.org/resource/Olijfolie	1		http://dbpedia.org/resource/Olive_oil	http://nl.dbpedia.org/resource/Olijfolie	1	0.9999986665	218		http://dbpedia.org/resource/Olive_oil	
rucola	http://nl.dbpedia.org/resource/Rucola	1		http://dbpedia.org/resource/Eruca_sativa	http://nl.dbpedia.org/resource/Zwaardherik	1	0.9999966165	21			
crème fraîche		0			http://nl.dbpedia.org/resource/Crème_fraîche	1	0.9999998833	20		http://dbpedia.org/resource/Crème_fraîche	
slagroom	http://nl.dbpedia.org/resource/Slagroom	1		http://dbpedia.org/resource/Whipped_cream	http://nl.dbpedia.org/resource/Slagroom	1	0.9999993307	111		http://dbpedia.org/resource/Whipped_cream	
boter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
dille	http://nl.dbpedia.org/resource/Dille	1	Anethum graveolens	http://dbpedia.org/resource/Dill		0					
Parmezaanse kaas		0			http://nl.dbpedia.org/resource/Parmezaanse_kaas	1	1	30		http://dbpedia.org/resource/Parmigiano-Reggiano	
knoflook	http://nl.dbpedia.org/resource/Knoflook	1	Allium sativum	http://dbpedia.org/resource/Garlic	http://nl.dbpedia.org/resource/Knoflook	1	0.99999858	289	Allium sativum	http://dbpedia.org/resource/Garlic	
poedersuiker	http://nl.dbpedia.org/resource/Poedersuiker	1		http://dbpedia.org/resource/Powdered_sugar	http://nl.dbpedia.org/resource/Poedersuiker	1	0.9999990031	40		http://dbpedia.org/resource/Powdered_sugar	
zwarte olijven		0			http://nl.dbpedia.org/resource/Olijf	1	0.9999993349	328	Olea europaea	http://dbpedia.org/resource/Olive	
frambozen		0			http://nl.dbpedia.org/resource/Framboos	1	0.9999988899	128	Rubus idaeus	http://dbpedia.org/resource/Raspberry	
Griekse yoghurt		0			http://nl.dbpedia.org/resource/Yoghurt	1	0.9999997668	175		http://dbpedia.org/resource/Yogurt	
spinazie	http://nl.dbpedia.org/resource/Spinazie	1	Spinacia oleracea	http://dbpedia.org/resource/Spinach	http://nl.dbpedia.org/resource/Spinazie	1	0.9999984982	166	Spinacia oleracea	http://dbpedia.org/resource/Spinach	
olijfolie extra vierge		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999995975	218		http://dbpedia.org/resource/Olive_oil	
seroendeng	http://nl.dbpedia.org/resource/Seroendeng	1		http://dbpedia.org/resource/Serundeng		0					
zoete chilisaus		0			http://nl.dbpedia.org/resource/Chilisaus	1	0.9999999931	20		http://dbpedia.org/resource/Hot_sauce	
suiker		0			http://nl.dbpedia.org/resource/Tafelsuiker	1	0.678746404	664		http://dbpedia.org/resource/Sugar	
kappertjes		0			http://nl.dbpedia.org/resource/Kappertje	1	0.999999123	38		http://dbpedia.org/resource/Caper	
geitenkaas	http://nl.dbpedia.org/resource/Geitenkaas	1		http://dbpedia.org/resource/Goat_cheese	http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999995161	33		http://dbpedia.org/resource/Goat_cheese	
olie	http://nl.dbpedia.org/resource/Olie	1		http://dbpedia.org/resource/Oil		0					
mozzarella	http://nl.dbpedia.org/resource/Mozzarella	1		http://dbpedia.org/resource/Mozzarella	http://nl.dbpedia.org/resource/Mozzarella	1	0.999999817	64		http://dbpedia.org/resource/Mozzarella	
melk		0			http://nl.dbpedia.org/resource/Koemelk	1	0.9475025664	322			
bosuitjes		0				0					
zonnebloemolie	http://nl.dbpedia.org/resource/Zonnebloemolie	1		http://dbpedia.org/resource/Sunflower_oil	http://nl.dbpedia.org/resource/Zonnebloemolie	1	0.9999986833	37		http://dbpedia.org/resource/Sunflower_oil	
geraspte kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999981798	1212		http://dbpedia.org/resource/Cheese	
balsamicoazijn	http://nl.dbpedia.org/resource/Balsamicoazijn	1		http://dbpedia.org/resource/Balsamic_vinegar	http://nl.dbpedia.org/resource/Balsamicoazijn	0	0.9999994843	25		http://dbpedia.org/resource/Balsamic_vinegar	
walnoten		0			http://nl.dbpedia.org/resource/Juglans	1	0.9992067561	61		http://dbpedia.org/resource/Juglans	
zachte geitenkaas		0			http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999999937	33		http://dbpedia.org/resource/Goat_cheese	
aardbeien		0				0					
tijm	http://nl.dbpedia.org/resource/Tijm	1	Thymus	http://dbpedia.org/resource/Thymus_(plant)	http://nl.dbpedia.org/resource/Tijm	1	0.9999974682	117	Thymus	http://dbpedia.org/resource/Thymus_(plant)	
pittige kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999920665	1212		http://dbpedia.org/resource/Cheese	
amandelschaafsel		0				0					
water	http://nl.dbpedia.org/resource/Water	1		http://dbpedia.org/resource/Water		0					
veldsla	http://nl.dbpedia.org/resource/Veldsla	1		http://dbpedia.org/resource/Valerianella_locusta	http://nl.dbpedia.org/resource/Veldsla	1	0.999991507	23		http://dbpedia.org/resource/Valerianella_locusta	
kropsla		0			http://nl.dbpedia.org/resource/Sla	1	0.9999991041	150	Lactuca	http://dbpedia.org/resource/Lettuce	
pure chocolade		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
waterkers	http://nl.dbpedia.org/resource/Waterkers	1		http://dbpedia.org/resource/Rorippa	http://nl.dbpedia.org/resource/Waterkers	1	0.9287014679	36		http://dbpedia.org/resource/Rorippa	
tuinerwten		0				0					
witte kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9990303001	1212		http://dbpedia.org/resource/Cheese	
citroen		0			http://nl.dbpedia.org/resource/Citroen_(vrucht)	1	0.9956489424	228	Citrus limon	http://dbpedia.org/resource/Lemon	
chilipeper	http://nl.dbpedia.org/resource/Chilipeper	1		http://dbpedia.org/resource/Chili_pepper	http://nl.dbpedia.org/resource/Chilipeper	1	0.9999986954	117		http://dbpedia.org/resource/Chili_pepper	
pistachenoten		0				0					
honing-mosterddressing		0				0					
mayonaise	http://nl.dbpedia.org/resource/Mayonaise	1		http://dbpedia.org/resource/Mayonnaise	http://nl.dbpedia.org/resource/Mayonaise	1	0.9999991311	115		http://dbpedia.org/resource/Mayonnaise	
mascarpone	http://nl.dbpedia.org/resource/Mascarpone	1		http://dbpedia.org/resource/Mascarpone	http://nl.dbpedia.org/resource/Mascarpone	1	0.9999997535	11		http://dbpedia.org/resource/Mascarpone	
selderij	http://nl.dbpedia.org/resource/Selderij	1		http://dbpedia.org/resource/Celery	http://nl.dbpedia.org/resource/Selderij	1	0.9963038964	76		http://dbpedia.org/resource/Celery	
